tweet_id,user_name,rt_count,tweet_text,user_created_date,user_initial_follower,user_end_follower,user_initial_fav,user_end_fav,user_state,user_party,user_incumbency,state_tossup,state_twitter_user,state_population,user_fullname,gender,obama_support,type,sm_type,sm_focus,cta_1,cta_2,info_1,info_2,origin_screen_name,origin_created_at,origin_followers,origin_user_created_at,origin_favorites,origin_text,origin_media,age
5.23847E+17,jeff4gov,8,"On gun control ""We have enough gun laws on the books.  We should enforce them""  #FOX9Debate", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:43:57 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"On gun control ""We have enough gun laws on the books.  We should enforce them""  #FOX9Debate",NULL,572.0581713
5.23849E+17,jeff4gov,6,"Dayton: ""I think legislators are severely underpaid"" #FOX9Debate", Tue Mar 26 13:20:11 +0000 2013 ,2848,3108,129,223,minnesota,republican,Challenger,0,29493,5457173,jeff johnson,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,jeff4gov,Sun Oct 19 14:52:02 +0000 2014,2986,Tue Mar 26 13:20:11 +0000 2013,0,"Dayton: ""I think legislators are severely underpaid"" #FOX9Debate",NULL,572.0637847
5.2389E+17,marthacoakley,0,RT @maura_healey: No leader nationally has done more to get at predatory subprime lenders than @MarthaCoakley. #MaPoli #Org2Win http://t.coâ€°Ã›_, Sun Aug 30 19:07:36 +0000 2009 ,25960,27169,931,1542,massachusetts,democrat,Challenger,0,54736,6745408,martha coakley,F,TRUE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,marthacoakley,Sun Oct 19 17:33:04 +0000 2014,26245,Sun Aug 30 19:07:36 +0000 2009,0,RT @maura_healey: No leader nationally has done more to get at predatory subprime lenders than @MarthaCoakley. #MaPoli #Org2Win http://t.coâ€_,photo,1875.934352
5.23893E+17,howiehawkins,0,RT @lohud: Green Partyâ€°Ã›Âªs Hawkins: Andy and Rob are different brands of GOP http://t.co/seHuKA3pUl, Mon May 10 09:57:01 +0000 2010 ,2119,2973,415,747,new york,green party,Challenger,0,162645,19746227,howie hawkins,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,howiehawkins,Sun Oct 19 17:46:24 +0000 2014,2256,Mon May 10 09:57:01 +0000 2010,0,RT @lohud: Green Partyâ€™s Hawkins: Andy and Rob are different brands of GOP http://t.co/seHuKA3pUl,NULL,1623.325961
5.23902E+17,robastorino,28,This could be the best analysis of Governor Cuomoâ€°Ã›Âªs dirty campaign tactics to date. http://t.co/LfymjZPYKO, Tue Feb 24 14:28:56 +0000 2009 ,9309,10758,319,422,new york,republican,Challenger,0,162645,19746227,rob astorino,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,robastorino,Sun Oct 19 18:22:15 +0000 2014,9700,Tue Feb 24 14:28:56 +0000 2009,0,This could be the best analysis of Governor Cuomoâ€™s dirty campaign tactics to date. http://t.co/LfymjZPYKO,NULL,2063.162025
5.23907E+17,fitzgeraldforoh,122,.@JohnKasich gave $15 million to a company that had misused gov. funds in Ohio. Theres too much at stake not to vote http://t.co/ZPRrpIm3PZ, Sun Mar 10 22:58:37 +0000 2013 ,6410,6404,134,170,ohio,democrat,Challenger,0,58533,11594163,ed fitzgerald,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,fitzgeraldforoh,Sun Oct 19 18:41:00 +0000 2014,6469,Sun Mar 10 22:58:37 +0000 2013,0,.@JohnKasich gave $15 million to a company that had misused gov. funds in Ohio. Theres too much at stake not to vote http://t.co/ZPRrpIm3PZ,NULL,587.8210995
5.23913E+17,wyllieforgov,0,"RT @SchaackKaren: @TheNewsPress doesn't endorse in #flgov race because neither candidate would come in for an interview. try @WyllieForGov,â€°Ã›_", Tue Jan 08 02:05:52 +0000 2013 ,2387,3230,4334,6238,florida,libertarian,Challenger,1,103447,19893297,adrian wyllie,M,TRUE,Strategic Message,Attack,Issue,NA,NA,NA,NA,wyllieforgov,Sun Oct 19 19:06:05 +0000 2014,2836,Tue Jan 08 02:05:52 +0000 2013,0,"RT @SchaackKaren: @TheNewsPress doesn't endorse in #flgov race because neither candidate would come in for an interview. try @WyllieForGov,â€_",NULL,649.7084838
5.23923E+17,fitzgeraldforoh,21,".@JohnKasich gave $15 million to a manufacturer, touted it as a jobs win, and then the company never created 1 job. http://t.co/ZPRrpIm3PZ", Sun Mar 10 22:58:37 +0000 2013 ,6410,6404,134,170,ohio,democrat,Challenger,0,58533,11594163,ed fitzgerald,M,TRUE,Strategic Message,Attack,Issue,NA,NA,NA,NA,fitzgeraldforoh,Sun Oct 19 19:45:00 +0000 2014,6470,Sun Mar 10 22:58:37 +0000 2013,0,".@JohnKasich gave $15 million to a manufacturer, touted it as a jobs win, and then the company never created 1 job. http://t.co/ZPRrpIm3PZ",NULL,587.865544
5.2393E+17,dukeaiona2014,2,We must reduce our high cost of living! #hicost #higov #dukeaiona2014 #elwinahu #hitrust #hirespect #hibalance http://t.co/TK0aCWeoEg, Tue Aug 11 03:38:32 +0000 2009 ,4459,4560,143,208,hawaii,republican,Challenger,0,49668,1419561,duke aiona,M,TRUE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,dukeaiona2014,Sun Oct 19 20:12:18 +0000 2014,4511,Tue Aug 11 03:38:32 +0000 2009,0,We must reduce our high cost of living! #hicost #higov #dukeaiona2014 #elwinahu #hitrust #hirespect #hibalance http://t.co/TK0aCWeoEg,photo,1895.690116
5.23932E+17,charliecrist,21,Wonderful! Proud to fight for you. RT @kenobikathy: Nurses for Charlie @CharlieCrist #teamcharlie @AmyTidd http://t.co/0WQt8hMwR3, Sun May 10 01:42:17 +0000 2009 ,22407,25053,49,49,florida,democrat,Challenger,1,103447,19893297,charlie crist,M,TRUE,Strategic Message,Advocacy,Image,NA,NA,NA,NA,charliecrist,Sun Oct 19 20:21:04 +0000 2014,23739,Sun May 10 01:42:17 +0000 2009,0,Wonderful! Proud to fight for you. RT @kenobikathy: Nurses for Charlie @CharlieCrist #teamcharlie @AmyTidd http://t.co/0WQt8hMwR3,photo,1988.776933
